metric,llm,harness,workflow,reasoning_effort,runs_attempted,runs_successfully_completed,runs_ended_with_errors,median_output_tokens_per_completed_run,expected-unmasked,expected-unmasked_ci95_low,expected-unmasked_ci95_high,expected-masked,expected-masked_ci95_low,expected-masked_ci95_high,surprising-unmasked,surprising-unmasked_ci95_low,surprising-unmasked_ci95_high,surprising-masked,surprising-masked_ci95_low,surprising-masked_ci95_high
Recall (%),RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,persistent,medium,40,37,3,199780,38.888888888888886,31.111111111111104,48.88888888888888,65.55555555555554,63.333333333333314,66.66666666666666,49.99999999999999,39.999999999999986,59.999999999999986,66.66666666666666,66.66666666666666,66.66666666666666
Scientific F1*,gpt-6-astra,Codex,persistent,medium,40,40,0,85653.0,80.31718962538274,78.49400513564635,82.97614317041223,77.63090501905839,76.52251427960051,78.72150297592569,77.75593581682466,76.35584314864616,78.99676500166605,78.83312040572739,76.5441893700913,81.82558365514849
Scientific F1*,gpt-5.6-sol,Codex,persistent,medium,40,40,0,172152.0,75.63825199451489,69.73955093351756,78.81555232216027,78.6900906466222,78.14240933043682,79.24588008523605,72.3862387062535,62.00224514745658,78.41795913208358,77.58275441449291,75.58848131944711,78.99389994969384
Scientific F1*,gpt-5.6-terra,Codex,persistent,medium,40,40,0,56127.5,64.32326117846277,49.92462311557789,75.99558345187397,79.49258149299223,79.18151543476735,79.78511907295497,73.44314715245514,66.78719224152506,78.38943056794395,75.0970515970516,68.36977886977887,80.0
Scientific F1*,gpt-5.6-luna,Codex,persistent,medium,40,36,4,77247.5,18.819925841380694,6.70047446166849,31.096037110896724,48.863424654099234,31.996285424364928,64.7171393941574,30.038653533438616,16.150337528342643,43.024920091238236,53.32304804778272,41.34862885982667,64.9554887274251
Scientific F1*,claude-opus-5,Custom runner,persistent,medium,20,20,0,321510.5,77.36393672990846,75.0544151704048,79.48381567152515,77.90750698542105,76.33811007413807,79.47690389670403,77.80020981105578,76.50865407289275,79.0917655492188,77.06973092594177,73.39430135147077,79.42120718106717
Scientific F1*,Inferact/Qwen3.8-27B-NVFP4,Biomni,Biomni,xhigh,40,34,6,81632.5,76.64285714285714,69.92857142857142,80.0,79.07952333475762,77.64534966528984,80.0,67.93939393939394,51.27272727272727,78.66666666666666,79.83505154639175,79.50515463917525,80.0
Scientific F1*,Inferact/Qwen3.8-27B-NVFP4,Custom runner,persistent,medium,40,38,2,183076.0,74.0,65.0,80.0,71.5945871306269,58.45677989505661,80.0,73.0,63.0,80.0,70.60651629072682,61.14786967418546,79.15789473684211
Scientific F1*,RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,persistent,medium,40,37,3,199780,54.534322820037104,47.17068645640073,63.63636363636364,79.14285714285714,77.42857142857143,80.0,61.147987110028204,50.29203272657524,71.90094186954573,79.77777777777777,79.33333333333333,80.0
Exploration E,gpt-6-astra,Codex,persistent,medium,40,40,0,85653.0,65.75555555555555,65.55555555555554,65.97777777777779,64.3111111111111,64.13333333333334,64.44444444444444,65.2,65.0,65.33333333333334,64.46666666666667,64.13333333333334,64.86666666666667
